adjective,noun,tone,key,instrument,maj_min
unanticipated,,,,,
unapologetic,,,,,
unappealing,,,,,
unappetizing,,,,,
unappreciative,,,,,
unapproachable,,,,,
unashamed,,,,,
unassailable,,,,,
unassertive,,,,,
unassisted,,,,,
unattached,,,,,
unattainable,,,,,
unattractive,,,,,
unauthorized,,,,,
unavailable,,,,,
unavailing,,,,,
unavoidable,,,,,
unbalanced,,,,,
unbearable,,,,,
unbeatable,,,,,
unbeaten,,,,,
unbecoming,,,,,
unbelievable,,,,,
unbelieving,,,,,
unbendable,,,,,
unbending,,,,,
unbiased,,,,,
unblemished,,,,,
unblinking,,,,,
unblushing,,,,,
unbounded,,,,,
unbreakable,,,,,
unbridled,,,,,
uncanny,,,,,
uncaring,,,,,
unceasing,,,,,
unceremonious,,,,,
uncertain,,,,,
unchangeable,,,,,
unchanging,,,,,
uncharacteristic,,,,,
uncharitable,,,,,
uncharted,,,,,
uncivil,,,,,
uncivilized,,,,,
unclassified,,,,,
unclean,,,,,
uncluttered,,,,,
uncomely,,,,,
uncomfortable,,,,,
uncommitted,,,,,
uncommon,,,,,
uncommunicative,,,,,
uncomplaining,,,,,
uncomprehending,,,,,
uncompromising,,,,,
unconcerned,,,,,
unconditional,,,,,
unconfirmed,,,,,
unconquerable,,,,,
unconscionable,,,,,
unconscious,,,,,
unconstitutional,,,,,
unconstrained,,,,,
unconstructive,,,,,
uncontainable,,,,,
uncontrollable,,,,,
unconventional,,,,,
unconvinced,,,,,
unconvincing,,,,,
uncooked,,,,,
uncooperative,,,,,
uncoordinated,,,,,
uncouth,,,,,
uncovered,,,,,
uncreative,,,,,
uncritical,,,,,
undamaged,,,,,
undated,,,,,
undaunted,,,,,
undeclared,,,,,
undefeated,,,,,
undefined,,,,,
undemocratic,,,,,
undeniable,,,,,
undependable,,,,,
underdeveloped,,,,,
underfunded,,,,,
underhanded,,,,,
underprivileged,,,,,
understandable,,,,,
understanding,,,,,
understated,,,,,
understood,,,,,
undeserved,,,,,
undesirable,,,,,
undetected,,,,,
undeterred,,,,,
undeveloped,,,,,
undeviating,,,,,
undifferentiated,,,,,
undignified,,,,,
undiminished,,,,,
undiplomatic,,,,,
undisciplined,,,,,
undiscovered,,,,,
undisguised,,,,,
undisputed,,,,,
undistinguished,,,,,
undivided,,,,,
undoubted,,,,,
unearthly,,,,,
uneasy,,,,,
uneducated,,,,,
unemotional,,,,,
unemployed,,,,,
unencumbered,,,,,
unending,,,,,
unendurable,,,,,
unenforceable,,,,,
unenthusiastic,,,,,
unenviable,,,,,
unequal,,,,,
unequaled,,,,,
unequivocal,,,,,
unerring,,,,,
uneven,,,,,
uneventful,,,,,
unexceptional,,,,,
unexcited,,,,,
unexpected,,,,,
unexplainable,,,,,
unexplored,,,,,
unexpressive,,,,,
unfailing,,,,,
unfair,,,,,
unfaithful,,,,,
unfaltering,,,,,
unfamiliar,,,,,
unfashionable,,,,,
unfathomable,,,,,
unfavorable,,,,,
unfeeling,,,,,
unfettered,,,,,
unfilled,,,,,
unflagging,,,,,
unflappable,,,,,
unflattering,,,,,
unflinching,,,,,
unfocused,,,,,
unforeseeable,,,,,
unforgettable,,,,,
unforgivable,,,,,
unforgiving,,,,,
unfortunate,,,,,
unfriendly,,,,,
unfulfilled,,,,,
ungallant,,,,,
ungenerous,,,,,
ungentlemanly,,,,,
unglamorous,,,,,
ungraceful,,,,,
ungracious,,,,,
ungrateful,,,,,
unguarded,,,,,
unhandsome,,,,,
unhappy,,,,,
unharmed,,,,,
unhealthy,,,,,
unheated,,,,,
unheeded,,,,,
unhelpful,,,,,
unhesitating,,,,,
unhurried,,,,,
uniform,,,,,
unilateral,,,,,
unimaginable,,,,,
unimaginative,,,,,
unimpeachable,,,,,
unimpeded,,,,,
unimpressive,,,,,
unincorporated,,,,,
uninformed,,,,,
uninhabitable,,,,,
uninhibited,,,,,
uninitiated,,,,,
uninjured,,,,,
uninspired,,,,,
uninsurable,,,,,
unintelligent,,,,,
unintelligible,,,,,
unintended,,,,,
unintentional,,,,,
uninterested,,,,,
uninterrupted,,,,,
uninvited,,,,,
unique,,,,,
united,,,,,
universal,,,,,
unjust,,,,,
unjustifiable,,,,,
unkempt,,,,,
unkind,,,,,
unknowing,,,,,
unknown,,,,,
unlawful,,,,,
unlicensed,,,,,
unlikable,,,,,
unlikely,,,,,
unlivable,,,,,
unloved,,,,,
unlucky,,,,,
unmanageable,,,,,
unmanly,,,,,
unmanned,,,,,
unmarketable,,,,,
unmasked,,,,,
unmatched,,,,,
unmemorable,,,,,
unmentionable,,,,,
unmerciful,,,,,
unmistakable,,,,,
unmitigated,,,,,
unmodified,,,,,
unmotivated,,,,,
unnatural,,,,,
unnecessary,,,,,
unnerved,,,,,
unnerving,,,,,
unnoticeable,,,,,
unobserved,,,,,
unobtainable,,,,,
unobtrusive,,,,,
unofficial,,,,,
unopened,,,,,
unopposed,,,,,
unorthodox,,,,,
unostentatious,,,,,
unpalatable,,,,,
unpardonable,,,,,
unpersuasive,,,,,
unperturbed,,,,,
unplanned,,,,,
unpleasant,,,,,
unprecedented,,,,,
unpredictable,,,,,
unpretentious,,,,,
unprincipled,,,,,
unproductive,,,,,
unprofessional,,,,,
unprofitable,,,,,
unpromising,,,,,
unpronounceable,,,,,
unprovoked,,,,,
unqualified,,,,,
unquantifiable,,,,,
unquenchable,,,,,
unquestionable,,,,,
unquestioned,,,,,
unquestioning,,,,,
unraveled,,,,,
unreachable,,,,,
unreadable,,,,,
unrealistic,,,,,
unrealized,,,,,
unreasonable,,,,,
unreceptive,,,,,
unrecognizable,,,,,
unrecognized,,,,,
unredeemable,,,,,
unregulated,,,,,
unrelenting,,,,,
unreliable,,,,,
unremarkable,,,,,
unremitting,,,,,
unrepentant,,,,,
unrepresentative,,,,,
unrepresented,,,,,
unreserved,,,,,
unrespectable,,,,,
unresponsive,,,,,
unrestrained,,,,,
unripe,,,,,
unrivaled,,,,,
unromantic,,,,,
unruffled,,,,,
unruly,,,,,
unsafe,,,,,
unsalvageable,,,,,
unsatisfactory,,,,,
unsatisfied,,,,,
unscheduled,,,,,
unscholarly,,,,,
unscientific,,,,,
unscrupulous,,,,,
unseasonable,,,,,
unseemly,,,,,
unselfish,,,,,
unsettled,,,,,
unsettling,,,,,
unshakable,,,,,
unshapely,,,,,
unsightly,,,,,
unsigned,,,,,
unsinkable,,,,,
unskilled,,,,,
unsociable,,,,,
unsolicited,,,,,
unsolvable,,,,,
unsolved,,,,,
unsophisticated,,,,,
unsound,,,,,
unsparing,,,,,
unspeakable,,,,,
unspoiled,,,,,
unstable,,,,,
unstated,,,,,
unsteady,,,,,
unstoppable,,,,,
unstressed,,,,,
unstructured,,,,,
unsubstantial,,,,,
unsubstantiated,,,,,
unsuccessful,,,,,
unsuitable,,,,,
unsuited,,,,,
unsupervised,,,,,
unsupported,,,,,
unsure,,,,,
unsurpassable,,,,,
unsurpassed,,,,,
unsurprising,,,,,
unsuspected,,,,,
unsuspecting,,,,,
unsustainable,,,,,
unsympathetic,,,,,
unsystematic,,,,,
untainted,,,,,
untamable,,,,,
untamed,,,,,
untapped,,,,,
untenable,,,,,
untested,,,,,
unthinkable,,,,,
unthinking,,,,,
untidy,,,,,
untimely,,,,,
untitled,,,,,
untouchable,,,,,
untraditional,,,,,
untrained,,,,,
untried,,,,,
untroubled,,,,,
untrustworthy,,,,,
untruthful,,,,,
unused,,,,,
unusual,,,,,
unverified,,,,,
unwary,,,,,
unwashed,,,,,
unwatchable,,,,,
unwavering,,,,,
unwholesome,,,,,
unwieldy,,,,,
unwilling,,,,,
unwise,,,,,
unwitting,,,,,
unworkable,,,,,
unworldly,,,,,
unworthy,,,,,
unwritten,,,,,
unyielding,,,,,
upbeat,,,,,
upmost,,,,,
upper,,,,,
uppity,,,,,
upright,,,,,
uproarious,,,,,
upset,,,,,
upsetting,,,,,
upstairs,,,,,
uptight,,,,,
up-to-date,,,,,
up-to-the-minute,,,,,
upward,,,,,
urbane,,,,,
urgent,,,,,
usable,,,,,
used,,,,,
useful,,,,,
useless,,,,,
usual,,,,,
utilitarian,,,,,
utopian,,,,,
utter,,,,,
uttermost,,,,,
vacant,,,,,
vacillating,,,,,
vacuous,,,,,
vagabond,,,,,
vagrant,,,,,
vague,,,,,
vain,,,,,
valiant,,,,,
valid,,,,,
valorous,,,,,
valuable,,,,,
vanishing,,,,,
vapid,,,,,
vaporous,,,,,
variable,,,,,
varied,,,,,
various,,,,,
varying,,,,,
vast,,,,,
vegetable,,,,,
vegetarian,,,,,
vegetative,,,,,
vehement,,,,,
velvety,,,,,
venal,,,,,
venerable,,,,,
vengeful,,,,,
venomous,,,,,
venturesome,,,,,
venturous,,,,,
veracious,,,,,
verbal,,,,,
verbose,,,,,
verdant,,,,,
verifiable,,,,,
verified,,,,,
veritable,,,,,
vernacular,,,,,
versatile,,,,,
versed,,,,,
vertical,,,,,
very,,,,,
vexed,,,,,
vexing,,,,,
viable,,,,,
vibrant,,,,,
vibrating,,,,,
vicarious,,,,,
vicious,,,,,
victorious,,,,,
vigilant,,,,,
vigorous,,,,,
vile,,,,,
villainous,,,,,
vindictive,,,,,
vinegary,,,,,
violent,,,,,
violet,,,,,
viperous,,,,,
viral,,,,,
virtual,,,,,
virtuous,,,,,
virulent,,,,,
visceral,,,,,
viscous,,,,,
visible,,,,,
visionary,,,,,
visual,,,,,
vital,,,,,
vitriolic,,,,,
vivacious,,,,,
vivid,,,,,
vocal,,,,,
vocational,,,,,
voiceless,,,,,
volatile,,,,,
volcanic,,,,,
voluminous,,,,,
voluntary,,,,,
voluptuous,,,,,
voracious,,,,,
vulgar,,,,,
vulnerable,,,,,
wacky,,,,,
wailing,,,,,
waiting,,,,,
wakeful,,,,,
wandering,,,,,
wanting,,,,,
wanton,,,,,
warlike,,,,,
warm,,,,,
warmest,,,,,
warning,,,,,
warring,,,,,
wary,,,,,
waspish,,,,,
waste,,,,,
wasted,,,,,
wasteful,,,,,
watchful,,,,,
waterlogged,,,,,
waterproof,,,,,
watertight,,,,,
watery,,,,,
wavering,,,,,
wax,,,,,
waxen,,,,,
weak,,,,,
weakened,,,,,
weak-willed,,,,,
wealthy,,,,,
wearisome,,,,,
weary,,,,,
wee,,,,,
weedy,,,,,
week-long,,,,,
weekly,,,,,
weightless,,,,,
weighty,,,,,
weird,,,,,
welcoming,,,,,
well,,,,,
well-adjusted,,,,,
well-argued,,,,,
well-aware,,,,,
well-balanced,,,,,
well-behaved,,,,,
well-built,,,,,
well-conceived,,,,,
well-considered,,,,,
well-crafted,,,,,
well-deserved,,,,,
well-developed,,,,,
well-done,,,,,
well-dressed,,,,,
well-educated,,,,,
well-equipped,,,,,
well-established,,,,,
well-founded,,,,,
well-groomed,,,,,
well-heeled,,,,,
well-honed,,,,,
well-informed,,,,,
well-intentioned,,,,,
well-kempt,,,,,
well-known,,,,,
well-liked,,,,,
well-lit,,,,,
well-made,,,,,
well-maintained,,,,,
well-mannered,,,,,
well-meaning,,,,,
well-off,,,,,
well-placed,,,,,
well-planned,,,,,
well-prepared,,,,,
well-qualified,,,,,
well-read,,,,,
well-received,,,,,
well-rounded,,,,,
well-spoken,,,,,
well-suited,,,,,
well-thought-of,,,,,
well-thought-out,,,,,
well-to-do,,,,,
well-traveled,,,,,
well-used,,,,,
well-versed,,,,,
well-worn,,,,,
well-written,,,,,
west,,,,,
western,,,,,
wet,,,,,
what,,,,,
wheezing,,,,,
which,,,,,
whimpering,,,,,
whimsical,,,,,
whining,,,,,
whispering,,,,,
whistling,,,,,
white,,,,,
whole,,,,,
wholehearted,,,,,
wholesale,,,,,
wholesome,,,,,
whooping,,,,,
whopping,,,,,
whose,,,,,
wicked,,,,,
wide,,,,,
wide-eyed,,,,,
wide-ranging,,,,,
widespread,,,,,
wiggly,,,,,
wild,,,,,
willful,,,,,
willing,,,,,
wily,,,,,
windy,,,,,
winning,,,,,
winsome,,,,,
winter,,,,,
wintery,,,,,
wiry,,,,,
wise,,,,,
wishful,,,,,
wispy,,,,,
wistful,,,,,
withering,,,,,
witless,,,,,
witty,,,,,
wizardly,,,,,
wobbly,,,,,
woeful,,,,,
wolfish,,,,,
wonderful,,,,,
wondrous,,,,,
wonted,,,,,
wood,,,,,
wooden,,,,,
wooing,,,,,
wool,,,,,
woolen,,,,,
woozy,,,,,
wordless,,,,,
wordy,,,,,
work,,,,,
workable,,,,,
working,,,,,
work-oriented,,,,,
worldly,,,,,
worn,,,,,
worn,,,,,
worn,,,,,
worried,,,,,
worrisome,,,,,
worrying,,,,,
worse,,,,,
worshipful,,,,,
worst,,,,,
worth,,,,,
worthless,,,,,
worthwhile,,,,,
worthy,,,,,
wounding,,,,,
wrathful,,,,,
wrenching,,,,,
wretched,,,,,
wriggling,,,,,
wriggly,,,,,
wrinkled,,,,,
wrinkly,,,,,
written,,,,,
wrong,,,,,
wrongful,,,,,
wry,,,,,
yawning,,,,,
yearly,,,,,
yearning,,,,,
yellow,,,,,
yelping,,,,,
yielding,,,,,
young,,,,,
younger,,,,,
youngest,,,,,
youthful,,,,,
yummy,,,,,
zany,,,,,
zealous,,,,,
zestful,,,,,
zesty,,,,,
zippy,,,,,
zonked,,,,,
zoological,,,,,
